season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,player_id,player_name,player_age,player_birth_date,player_country_code,player_birth_country_code,player_gender,player_field_position,player_detailed_field_position,club_id,club_shirt_name,club_jersey_number,key__minutes_played_official,key__matches_appearance,key__goals,key__assists,key__distance_covered,key__top_speed
1999,50064,POR,Porto,Porto,Portugal,Portugal,26441,Chaínho,51.0,1974-07-10,POR,,MALE,MIDFIELDER,,53010,Chaínho,23,993.0,14.0,,,,
1999,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,25921,Paul Bosvelt,55.0,1970-03-26,NED,,MALE,MIDFIELDER,,,Bosvelt,6,990.0,11.0,3.0,,,
1999,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,18589,Olexandr Holovko,53.0,1972-01-06,UKR,,MALE,DEFENDER,,,Holovko,,990.0,11.0,1.0,,,
1999,50127,BOR,Bordeaux,Bordeaux,France,Francia,40921,Ulrich Ramé,53.0,1972-09-19,FRA,,MALE,GOALKEEPER,,64166,Ramé,16,990.0,11.0,,,,
1999,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,24769,Erik Hoftun,56.0,1969-03-03,NOR,,MALE,,,,,,990.0,11.0,,,,
1999,52817,FIO,Fiorentina,Fiorentina,Italy,Italia,23540,Francesco Toldo,53.0,1971-12-02,ITA,,MALE,GOALKEEPER,,,Toldo,1,990.0,11.0,,,,
1999,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,11836,André Bergdølmo,54.0,1971-10-13,NOR,,MALE,DEFENDER,,,Bergdølmo,15,990.0,11.0,,,,
1999,52817,FIO,Fiorentina,Fiorentina,Italy,Italia,10538,Tomáš Řepka,51.0,1974-01-02,CZE,,MALE,DEFENDER,,,Řepka,2,990.0,11.0,,,,
1999,52682,MUN,Man Utd,Man Utd,England,Inglaterra,11369,Ryan Giggs,51.0,1973-11-29,WAL,WAL,MALE,,UNKNOWN,,,11,987.0,11.0,1.0,,,
1999,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,32913,Jan Sørensen,53.0,1971-12-28,NOR,,MALE,FORWARD,,,Sørensen,10,982.0,11.0,4.0,,,
1999,50127,BOR,Bordeaux,Bordeaux,France,Francia,22922,Johan Micoud,52.0,1973-07-24,FRA,,MALE,MIDFIELDER,,,Micoud,7,981.0,12.0,2.0,,,
1999,50080,BAR,Barcelona,Barcelona,Spain,España,15008,Josep Guardiola,54.0,1971-01-18,ESP,ESP,MALE,,,,,,974.0,12.0,1.0,,,
1999,50037,BAY,Bayern München,Bayern München,Germany,Alemania,4848,Stefan Effenberg,57.0,1968-08-02,GER,,MALE,MIDFIELDER,,,Effenberg,,974.0,11.0,2.0,,,
1999,52268,VAL,Valencia,Valencia,Spain,España,4707,Santiago Cañizares,55.0,1969-12-18,ESP,,MALE,GOALKEEPER,,,Cañizares,1,963.0,11.0,,,,
1999,52817,FIO,Fiorentina,Fiorentina,Italy,Italia,40918,Alessandro Pierini,52.0,1973-03-22,ITA,,MALE,DEFENDER,,,Pierini,,963.0,11.0,,,,
1999,52973,LAZ,Lazio,Lazio,Italy,Italia,22743,Giuseppe Pancaro,54.0,1971-08-26,ITA,,MALE,DEFENDER,,,Pancaro,,960.0,11.0,,,,
1999,52817,FIO,Fiorentina,Fiorentina,Italy,Italia,27734,Jörg Heinrich,55.0,1969-12-06,GER,,MALE,DEFENDER,,,Heinrich,,953.0,11.0,,,,
1999,52914,CHE,Chelsea,Chelsea,England,Inglaterra,150024472,Dan Petrescu,57.0,1967-12-22,ROU,ROU,MALE,,,,,,951.0,13.0,1.0,,,
1999,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,26233,Vratislav Lokvenc,52.0,1973-09-27,CZE,,MALE,FORWARD,,,Lokvenc,9,949.0,11.0,4.0,,,
1999,52682,MUN,Man Utd,Man Utd,England,Inglaterra,14681,Paul Scholes,51.0,1974-11-16,ENG,ENG,MALE,MIDFIELDER,,,SCHOLES,22,939.0,11.0,3.0,,,
1999,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,28271,Jan de Visser,57.0,1968-01-01,NED,,MALE,MIDFIELDER,,,de Visser,,936.0,12.0,,,,
1999,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,20469,Libor Sionko,48.0,1977-02-01,CZE,CZE,MALE,MIDFIELDER,UNKNOWN,,Sionko,7,930.0,12.0,,,,
1999,50051,RMA,Real Madrid,Real Madrid,Spain,España,33634,Iván Campo,51.0,1974-02-21,ESP,,MALE,MIDFIELDER,,,Iván Campo,8,928.0,12.0,,,,
1999,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,46032,Bonaventure Kalou,47.0,1978-01-12,CIV,,MALE,FORWARD,UNKNOWN,,Kalou,21,924.0,12.0,1.0,,,
1999,50037,BAY,Bayern München,Bayern München,Germany,Alemania,16043,Hasan Salihamidžić,48.0,1977-01-01,GER,,MALE,,,,,7,919.0,16.0,,,,
1999,52682,MUN,Man Utd,Man Utd,England,Inglaterra,12578,Henning Berg,56.0,1969-09-01,NOR,,MALE,,UNKNOWN,,,,918.0,12.0,,,,
1999,50037,BAY,Bayern München,Bayern München,Germany,Alemania,14464,Thomas Linke,55.0,1969-12-26,GER,,MALE,DEFENDER,,,Linke,4,915.0,11.0,1.0,,,
