season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,player_id,player_name,player_age,player_birth_date,player_country_code,player_birth_country_code,player_gender,player_field_position,player_detailed_field_position,club_id,club_shirt_name,club_jersey_number,goals__goals,goals__goals_scored_with_right,goals__goals_scored_with_left,goals__goals_scored_head,goals__goals_scored_other,goals__goals_scored_inside_penalty_area,goals__goals_scored_outside_penalty_area,goals__penalty_scored,goals__matches_appearance
1992,50140,USL,US Luxembourg,US Luxembourg,Luxembourg,Luxemburgo,3571,Frank Deville,55.0,1970-08-12,LUX,,MALE,DEFENDER,,,Frank Deville,,1.0,1.0,,,,,,,2.0
1992,50082,LAH,Lahti,Lahti,Finland,Finlandia,3035,Jari Rinne,61.0,1964-05-04,FIN,,MALE,,,,Rinne,,1.0,1.0,,,,,,,2.0
1992,50118,APO,APOEL,APOEL,Cyprus,Chipre,1647,Loucas Hadjiloucas,58.0,1967-06-06,CYP,,MALE,MIDFIELDER,,,Hadjiloucas,,1.0,1.0,,,,,,,2.0
1992,50118,APO,APOEL,APOEL,Cyprus,Chipre,11808,Siniša Gogić,62.0,1963-10-20,CYP,,MALE,FORWARD,,,Gogic,,1.0,1.0,,,,,,,2.0
1992,50118,APO,APOEL,APOEL,Cyprus,Chipre,11605,Costakis Fasouliotis,55.0,1970-08-19,CYP,,MALE,MIDFIELDER,,,Fasouliotis,,1.0,1.0,,,,,,,2.0
1992,50076,CSS,CSKA Sofia,CSKA Sofia,Bulgaria,Bulgaria,19187,Vanio Chichkov,56.0,1969-05-06,BUL,,MALE,,,,Chichkov,,1.0,1.0,,,,,,,1.0
1992,52748,MAR,Marseille,Marseille,France,Francia,10833,François Omam Biyik,59.0,1966-05-21,CMR,,MALE,,,,Omam Biyik,,1.0,1.0,,,,,,,1.0
1992,64227,LPO,Lech Poznań,Lech Poznań,Poland,Polonia,18846,Jerzy Podbrozny,58.0,1966-12-17,POL,,MALE,FORWARD,,,Podbrozny,,1.0,,,,,,,1.0,4.0
1992,50076,CSS,CSKA Sofia,CSKA Sofia,Bulgaria,Bulgaria,19186,Stefan Draganov,59.0,1966-08-13,BUL,,MALE,,,,Draganov,,1.0,,,,,,,1.0,1.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,6666,Håkan Mild,54.0,1971-06-14,SWE,,MALE,MIDFIELDER,,,Mild,,1.0,,,,,,,,10.0
1992,50058,MIL,Milan,Milan,Italy,Italia,428,Paolo Maldini,57.0,1968-06-26,ITA,ITA,MALE,DEFENDER,,,Maldini,3,1.0,,,,,,,,10.0
1992,50066,IFK,Göteborg,Göteborg,Sweden,Suecia,2176,Peter Eriksson,56.0,1969-05-18,SWE,,MALE,MIDFIELDER,,,Eriksson,,1.0,,,,,,,,10.0
1992,54266,CSM,CSKA Moskva,CSKA Moskva,Russia,Rusia,7273,Evgeni Bushmanov,54.0,1971-11-02,RUS,,MALE,,,,Bushmanov,,1.0,,,,,,,,9.0
